ID,CALLING_NUM,CALLED_NUM,START_TIME,END_TIME,CALL_TYPE,CALL_RESULT
233a6840-66e7-4507-893d-c7ded59e0c6f,153284711897,419990086111,2016-02-20 14:17:57.853390,2016-02-20 14:40:40.853390,SMS,ANSWERED
f75d8230-e7e6-4c48-bf65-581b3674745d,415489855282,418288461403,2015-09-22 14:17:57.854389,2015-09-22 14:48:49.854389,VOICE,ANSWERED
c0eb1ead-29c4-49c6-978f-1af294bed117,158786262911,316992864549,2016-08-07 14:17:57.854389,2016-08-07 14:47:47.854389,SMS,ANSWERED
0770d1e2-0e1d-417a-b920-353eb69e90ef,217186041227,317178478247,2017-06-16 14:17:57.854389,2017-06-16 14:32:34.854389,VOICE,ANSWERED
5fe1f69c-33d3-4ba0-b43b-5c4f727f4e67,154987008635,414470025939,2015-11-07 14:17:57.854389,2015-11-07 14:26:20.854389,VOICE,ANSWERED
8a2237e5-eb58-46a2-b190-5e7b7449d029,212485517721,156170379494,2018-05-15 14:17:57.854389,2018-05-15 14:53:15.854389,VOICE,ANSWERED
a1ef10b7-903a-4c53-a73c-3f25d67a65e7,315498557397,151176325016,2018-07-08 14:17:57.854389,2018-07-08 15:14:04.854389,VOICE,ANSWERED
6e37aba1-00d9-4915-b0fd-bdb7d7b5140f,218290252724,314791148146,2018-03-02 14:17:57.854389,2018-03-02 14:47:40.854389,VOICE,ANSWERED
12362599-5721-4456-8531-d4aed20a0f2a,218285583559,158877129635,2017-07-09 14:17:57.854389,2017-07-09 14:35:53.854389,VOICE,REJECTED
84eaee95-1b7f-4de7-8981-9f9c75c56662,216586735352,417173968038,2015-12-28 14:17:57.854389,2015-12-28 14:40:30.854389,VOICE,REJECTED
